Whale ID,Start Time (UTC),Sonar before EOE?,MFAS RL,MFAS cSEL,State,Variant State?,bout_start_time_UTC,N Variant Dive Cycles,Variant State Duration (hr)
Zica-20220112-195994,2022-01-12T20:38:10Z,No,76.3,69.9,Typical,No,NA,NA,NA
Zica-20220112-195994,2022-01-12T18:45:25Z,No,77.6,71.3,Typical,No,NA,NA,NA
Zica-20211112-94819,2021-11-15T09:53:35Z,No,81.8,80.9,Typical,No,NA,NA,NA
Zica-20211112-94819,2021-11-18T17:52:40Z,No,88.9,87.4,Typical,No,NA,NA,NA
Zica-20211112-94819,2021-11-15T07:05:27Z,Yes,89.2,87.7,Typical,No,NA,NA,NA
Zica-20230723-233394,2023-07-24T23:34:28Z,No,88.5,91.5,Typical,No,NA,NA,NA
Zica-20191012-145101,2019-10-13T17:57:13Z,No,95.1,102.6,Typical,No,NA,NA,NA
Zica-20230519-232950,2023-05-23T14:27:41Z,No,93.4,105.5,Typical,No,NA,NA,NA
Zica-20220112-195994,2022-01-13T17:56:47Z,No,102.8,107.8,Typical,No,NA,NA,NA
Zica-20191111-94810,2019-11-16T04:23:21Z,No,97.5,108,Typical,No,NA,NA,NA
Zica-20211112-94819,2021-11-19T05:37:29Z,No,105.5,108,Typical,No,NA,NA,NA
Zica-20230723-233394,2023-07-25T15:21:43Z,No,104.9,109.6,Typical,No,NA,NA,NA
Zica-20191111-94810,2019-11-14T23:00:48Z,Yes,103.4,110.6,Typical,No,NA,NA,NA
Zica-20230518-233391,2023-05-24T01:02:36Z,No,104.4,112.2,Typical,No,NA,NA,NA
Zica-20240227-233396,2024-03-06T23:16:40Z,Yes,105.3,112.3,Typical,No,NA,NA,NA
Zica-20230723-233395,2023-07-25T18:05:29Z,Yes,106.1,112.6,Variant,Yes,2023-07-25T18:05:29Z,3,2.7
Zica-20240227-233396,2024-03-05T17:14:39Z,No,119,112.8,Typical,No,NA,NA,NA
Zica-20230723-233395,2023-07-25T03:58:24Z,Yes,109.6,115.1,Variant,Yes,2023-07-25T03:58:24Z,1,3.5
Zica-20211113-195993,2021-11-16T20:17:20Z,No,107.9,115.6,Variant,Started Earlier,2021-11-14T08:22:24Z,37,72.4
Zica-20211112-94819,2021-11-18T20:52:08Z,Yes,118.3,116.2,Typical,No,NA,NA,NA
Zica-20240227-233396,2024-03-04T04:10:40Z,Yes,110.8,116.9,Variant,Started Earlier,2024-03-04T02:04:37Z,5,11.2
Zica-20191012-144029,2019-10-15T19:00:27Z,No,106.4,117.2,Typical,No,NA,NA,NA
Zica-20211112-94819,2021-11-16T21:55:32Z,Yes,122.6,118.1,Typical,No,NA,NA,NA
Zica-20230723-233395,2023-07-24T03:00:46Z,Yes,114.8,120.4,Typical,No,NA,NA,NA
Zica-20230723-233394,2023-07-25T22:47:23Z,Yes,120.9,120.7,Typical,No,NA,NA,NA
Zica-20230723-233395,2023-07-25T15:34:14Z,No,124.9,120.9,Typical,No,NA,NA,NA
Zica-20230723-233394,2023-07-25T03:07:29Z,Yes,121.2,121.8,Typical,No,NA,NA,NA
Zica-20191012-145101,2019-10-17T08:55:31Z,Yes,107.4,122.2,Variant,Yes,2019-10-17T08:55:31Z,7,15.2
Zica-20240227-233396,2024-03-07T22:57:57Z,No,117.9,123.4,Typical,No,NA,NA,NA
Zica-20211112-94819,2021-11-17T00:34:28Z,Yes,124.9,123.9,Typical,No,NA,NA,NA
Zica-20220112-195994,2022-01-13T21:32:29Z,Yes,119.1,125.2,Typical,No,NA,NA,NA
Zica-20230723-233395,2023-07-23T20:45:43Z,Yes,126.8,125.4,Typical,No,NA,NA,NA
Zica-20191111-94810,2019-11-16T07:49:35Z,Yes,119.9,125.6,Typical,No,NA,NA,NA
Zica-20211113-195993,2021-11-17T06:51:47Z,Yes,118.2,125.7,Variant,Started Earlier,2021-11-14T08:22:24Z,37,72.4
Zica-20230723-233394,2023-07-24T03:34:14Z,Yes,121.5,126.3,Variant,Yes,2023-07-24T03:34:14Z,1,1.8
Zica-20230518-233391,2023-05-24T03:22:02Z,Yes,120.9,126.7,Variant,Yes,2023-05-24T03:22:02Z,6,18.4
Zica-20230518-233391,2023-05-24T04:57:39Z,Yes,120.7,129.4,Variant,Started Earlier,2023-05-24T03:22:02Z,6,18.4
Zica-20230723-233395,2023-07-25T18:47:33Z,Yes,119.4,129.5,Variant,Started Earlier,2023-07-25T18:05:29Z,3,2.7
Zica-20230723-233394,2023-07-25T18:26:05Z,Yes,122.5,132.9,Typical,No,NA,NA,NA
Zica-20230723-233394,2023-07-23T20:46:59Z,Yes,123.8,135.2,Typical,No,NA,NA,NA
Zica-20211112-94819,2021-11-17T06:03:24Z,Yes,140.3,136.1,Variant,Yes,2021-11-17T06:03:24Z,5,14.5
Zica-20191111-94810,2019-11-15T01:37:36Z,No,141.2,137.2,Variant,Yes,2019-11-15T01:37:36Z,1,9.2
Zica-20191012-145101,2019-10-13T22:53:17Z,Yes,136,138.8,Variant,Yes,2019-10-13T22:53:17Z,2,9
Zica-20240227-240128,2024-02-28T04:28:44Z,No,138.4,141.2,Typical,No,NA,NA,NA
Zica-20220112-195994,2022-01-15T06:03:56Z,No,139,143.9,Variant,Yes,2022-01-15T06:03:56Z,1,16.9
Zica-20240227-233396,2024-02-28T03:58:45Z,No,137,144.4,Variant,No,NA,NA,NA
Zica-20191012-145101,2019-10-13T20:36:10Z,Yes,147.9,145.1,Typical,No,NA,NA,NA
Zica-20191012-144029,2019-10-13T17:03:06Z,No,136.5,145.9,Variant,Yes,2019-10-13T17:03:06Z,1,19.1
Zica-20191012-145101,2019-10-16T17:50:04Z,No,140.1,148.8,Typical,No,NA,NA,NA
Zica-20240227-233396,2024-03-06T04:56:40Z,No,150.3,151.5,Variant,Started Earlier,2024-03-05T22:20:46Z,3,14.1
Zica-20240227-233396,2024-03-05T22:20:46Z,Yes,148,155.8,Variant,Yes,2024-03-05T22:20:46Z,3,14.1
Zica-20230519-232950,2023-05-24T01:57:07Z,No,151.1,160.3,Variant,Yes,2023-05-24T01:57:07Z,2,10.2
